"codefir"	"date"	"pop"
10601	1993	21020
10611	1993	8357
10615	1993	8088
10623	1993	7675
10631	1993	6534
11027	1993	11946
11029	1993	11210
11031	1993	16785
11033	1993	12294
11417	1993	23586
11429	1993	15015
11507	1993	18731
11509	1993	24650
11511	1993	11605
11513	1993	11830
11515	1993	7459
11517	1993	7062
20317	1993	8807
20323	1993	8665
20341	1993	9004
20349	1993	10474
20355	1993	12372
20405	1993	11468
20407	1993	10630
20413	1993	5032
20417	1993	13172
20419	1993	20327
20421	1993	9765
20507	1993	13435
20509	1993	13962
20511	1993	4033
20513	1993	9689
20517	1993	8507
20519	1993	6735
20523	1993	11816
20525	1993	5659
20527	1993	7822
20601	1993	12386
20603	1993	14457
20605	1993	11875
20607	1993	17008
20609	1993	10277
20611	1993	4149
20613	1993	9816
20615	1993	4441
20617	1993	11258
20619	1993	8043
20717	1993	10334
20719	1993	8460
20807	1993	19721
20809	1993	10382
20813	1993	6684
20819	1993	9510
20829	1993	15165
20939	1993	13758
21101	1993	22779
21103	1993	18648
21107	1993	14625
21109	1993	15927
21111	1993	9647
21413	1993	10940
21417	1993	7725
21419	1993	8558
21421	1993	8615
21423	1993	6533
21425	1993	6293
21429	1993	5292
21431	1993	7498
21433	1993	5837
21501	1993	7260
21503	1993	6353
21505	1993	6016
21701	1993	14040
21703	1993	8105
21705	1993	7270
21707	1993	8765
21709	1993	3736
21711	1993	7355
21713	1993	6312
21715	1993	4261
21717	1993	3088
21719	1993	7935
21801	1993	8902
21803	1993	8001
21805	1993	5156
21807	1993	3917
22001	1993	8132
22003	1993	8043
22009	1993	7400
22011	1993	15626
22025	1993	18859
22033	1993	8447
22035	1993	13860
22043	1993	9945
22101	1993	7423
22103	1993	9157
22105	1993	6137
22201	1993	4986
22203	1993	6863
22205	1993	6366
30303	1993	19346
30305	1993	17540
30309	1993	18127
30901	1993	16803
30907	1993	6299
30909	1993	7785
30911	1993	7226
30913	1993	9766
30915	1993	5417
30917	1993	4794
30919	1993	13906
31403	1993	14335
31405	1993	4766
31409	1993	7797
31415	1993	10050
31431	1993	5205
31433	1993	7500
31701	1993	16948
31705	1993	22442
31707	1993	15557
41107	1993	6366
41109	1993	12118
41217	1993	11205
41221	1993	11148
41223	1993	19688
41401	1993	11299
41403	1993	7762
41405	1993	4573
41407	1993	10126
41409	1993	5414
41411	1993	3829
41413	1993	7452
41415	1993	7301
41417	1993	8395
41419	1993	4985
41421	1993	8167
51401	1993	20300
51501	1993	30615
51503	1993	12493
51505	1993	13953
51507	1993	16294
51509	1993	7552
51511	1993	22143
51513	1993	17279
51515	1993	4359
51517	1993	4365
51519	1993	11722
51521	1993	5989
51523	1993	9649
51525	1993	13149
51601	1993	45425
51603	1993	7807
51605	1993	3881
51607	1993	13467
51609	1993	13579
51611	1993	12067
51613	1993	12143
51615	1993	16200
51617	1993	13416
51619	1993	8092
51817	1993	8035
51829	1993	1937
51901	1993	24480
51903	1993	13104
51905	1993	6497
51907	1993	6510
51909	1993	10855
51911	1993	6259
51913	1993	4726
51915	1993	6105
51917	1993	5887
51919	1993	8028
51921	1993	4532
51923	1993	8882
51925	1993	4228
51927	1993	1795
51929	1993	8361
71007	1993	13995
71011	1993	12661
71013	1993	7746
71015	1993	4157
71019	1993	5430
71023	1993	7240
71025	1993	6551
71105	1993	5260
71109	1993	6817
71113	1993	6797
71115	1993	4483
71117	1993	4357
71119	1993	3713
71121	1993	4069
71123	1993	9930
71125	1993	6321
71127	1993	5041
71129	1993	8002
71131	1993	2085
71133	1993	5593
71137	1993	12460
71139	1993	10536
71141	1993	7693
71143	1993	7895
71145	1993	5716
71147	1993	3434
71149	1993	5659
71151	1993	9175
71153	1993	11404
71201	1993	14612
71203	1993	4384
71205	1993	5054
71207	1993	2901
71209	1993	4388
71211	1993	4539
71213	1993	3100
71215	1993	9208
71217	1993	3563
71219	1993	3187
71221	1993	11101
71223	1993	19022
71225	1993	4867
71227	1993	3890
71229	1993	6833
71231	1993	11913
71233	1993	3624
71235	1993	2528
71605	1993	10402
71607	1993	9586
71609	1993	5819
71613	1993	3447
71615	1993	12187
71619	1993	3269
71621	1993	3903
71623	1993	18426
71625	1993	6294
71627	1993	3901
71631	1993	18673
71635	1993	5236
10601	"2007.6875"	24881
10611	"2007.36363636364"	10337
10615	"2007.07142857143"	10667
10623	"2007.8"	9331
10631	"2007.4"	8898
11027	"2007.15384615385"	16088
11029	"2007.69230769231"	27392
11031	"2006.71428571429"	21959
11033	"2006.33333333333"	15662
11417	"2007.59459459459"	47742
11429	"2007.41666666667"	20994
11507	2006	28831
11509	"2005.71428571429"	34154
11511	"2005.75"	14015
11513	"2005.85714285714"	16318
11515	"2005.83333333333"	9815
11517	"2005.66666666667"	9977
20317	"2006.8"	8747
20323	"2007.4375"	11688
20341	"2007.35294117647"	12404
20349	"2007.16666666667"	15296
20355	"2006.05"	18206
20405	"2006.81481481481"	15068
20407	"2007.17857142857"	15255
20413	"2006.875"	6572
20417	"2006.95238095238"	19854
20419	"2006.90384615385"	32074
20421	"2006.85714285714"	11752
20507	"2006.8"	7859
20509	"2007.5"	17114
20511	"2007.16666666667"	5762
20513	"2007.0625"	13465
20517	"2007.33333333333"	11593
20519	2007	8518
20523	"2007.07692307692"	13456
20525	"2007.2"	7375
20527	"2007.375"	13117
20601	"2006.33333333333"	13355
20603	"2006.73913043478"	19080
20605	"2006.28571428571"	17348
20607	"2006.6875"	14176
20609	"2006.95238095238"	14734
20611	"2006.71428571429"	5299
20613	"2006.34782608696"	13471
20615	"2006.44444444444"	5889
20617	"2006.66666666667"	14830
20619	"2006.31578947368"	12802
20717	"2005.7037037037"	29960
20719	2005	7704
20807	"2007.27272727273"	24958
20809	"2007.14285714286"	11288
20813	"2007.33333333333"	10603
20819	"2007.16666666667"	12356
20829	"2007.35714285714"	17055
20939	"2005.77777777778"	11923
21101	"2006.45652173913"	37979
21103	"2006.53333333333"	29140
21105	"2006.125"	15367
21107	"2005.78947368421"	22308
21109	2006	21658
21111	"2005.84375"	42349
21413	"2007.66666666667"	8553
21417	"2007.26666666667"	14079
21419	"2007.125"	15889
21421	"2007.16666666667"	15378
21423	"2006.90909090909"	12529
21425	"2006.54545454545"	15411
21429	"2007.42857142857"	8440
21431	"2007.10526315789"	24286
21433	"2007.46153846154"	10773
21501	"2007.42105263158"	16727
21503	"2007.23529411765"	13543
21505	"2007.33333333333"	13711
21701	"2007.3"	19162
21703	"2007.15384615385"	14699
21705	"2007.73333333333"	10542
21707	"2007.3"	10663
21709	"2007.16666666667"	6694
21711	"2006.88888888889"	12496
21713	"2007.375"	7583
21715	"2007.42857142857"	9597
21717	"2007.16666666667"	5737
21719	"2007.5"	16114
21801	"2006.86666666667"	18781
21803	"2007.18181818182"	13347
21805	2007	15013
21807	2007	9039
22001	"2007.63636363636"	14380
22003	"2007.18181818182"	13200
22009	"2007.66666666667"	9574
22011	"2007.94117647059"	31834
22025	"2007.75"	24392
22033	"2007.8"	12247
22035	"2008.2"	20115
22043	"2007.75"	9806
22101	"2007.35294117647"	18347
22103	"2007.41666666667"	17729
22105	"2007.63636363636"	12313
22201	"2007.26666666667"	14072
22203	"2007.33333333333"	13404
22205	"2007.83333333333"	15387
22401	2008	20871
22403	"2007.83333333333"	12784
22405	2008	17023
22409	"2007.4"	8589
22411	"2008.4"	5939
22417	"2008.42857142857"	11013
22421	2008	4051
22423	2008	15755
22427	"2007.66666666667"	20242
30303	"2007.2"	14269
30305	"2007.33333333333"	15646
30309	"2007.17647058824"	25699
30901	"2007.55172413793"	19543
30907	"2007.5"	11388
30909	"2007.30769230769"	13741
30911	"2007.58333333333"	10934
30913	"2007.73333333333"	13975
30915	"2007.15384615385"	9891
30917	"2007.28571428571"	6459
30919	"2007.21739130435"	24307
31403	"2007.16666666667"	24915
31405	"2007.2"	7068
31409	2007	13490
31415	"2006.83333333333"	13398
31431	"2007.44444444444"	10177
31433	"2007.57142857143"	12038
31701	"2007.5"	29257
31705	"2006.96875"	21514
31707	"2007.08"	22652
41107	"2007.2"	9040
41109	"2006.10526315789"	24419
41217	"2007.42857142857"	17652
41221	"2006.88888888889"	19455
41223	"2007.31818181818"	42264
41401	"2006.77272727273"	18603
41403	"2007.36842105263"	10658
41405	2007	7948
41407	"2006.38888888889"	18198
41409	"2007.09090909091"	12737
41411	"2007.625"	7364
41413	"2006.76470588235"	13518
41415	"2007.57142857143"	12684
41417	"2007.40909090909"	10332
41419	"2007.58823529412"	8133
41421	"2006.80769230769"	17100
51401	"2006.28260869565"	30664
51501	"2007.72727272727"	61008
51503	"2005.41666666667"	14727
51505	"2004.95833333333"	22378
51507	"2005.35"	20996
51509	"2005.58333333333"	11954
51511	"2005.22"	38508
51513	2005	23880
51515	"2004.7"	8133
51517	"2004.83333333333"	5464
51519	"2004.73333333333"	16054
51521	"2005.16666666667"	8570
51523	"2005.36363636364"	12515
51525	"2005.47058823529"	16797
51601	"2005.90909090909"	94581
51603	"2006.5"	26953
51605	"2006.26666666667"	9436
51607	"2005.83606557377"	36364
51609	"2006.13953488372"	29647
51611	"2006.51282051282"	33037
51613	"2006.21951219512"	24214
51615	"2006.25531914894"	34011
51617	"2006.29268292683"	31531
51619	"2006.10526315789"	15889
51817	"2005.60714285714"	12463
51829	"2004.9"	3448
51901	"2005.83333333333"	28386
51903	"2005.40909090909"	17318
51905	"2006.26086956522"	14484
51907	"2005.65"	13185
51909	"2005.72222222222"	19939
51911	"2006.57142857143"	14441
51913	"2005.72727272727"	8539
