period	cat	value	fcc	interval	fkt_id	fkt_date	fkt_pop	fkt_area	fkt_mines	fkt_fert	fkt_cattle	fkt_poors	prot_area	altitude	dist_patch	dist_fedge	dist_road	dist_town	fragindex	date_image	statut_tp1
1	1	1	111	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	117	540	60	56820	39390	3	20010913	0
1	2	1	111	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	132	210	90	56610	38730	5	20010913	0
1	3	1	111	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	144	270	90	56640	38790	5	20010913	0
1	4	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	407	630	60	57210	27240	3	20010913	0
1	5	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	828	1890	60	59730	16350	3	20010913	0
1	6	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	979	1260	60	59580	16980	3	20010913	0
1	7	1	133	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	290	0	30	56880	28320	2	20010913	1
1	8	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	753	30	30	61590	8460	3	20010913	0
1	9	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	849	390	30	61500	8790	2	20010913	0
1	10	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	750	360	30	60810	11550	3	20010913	0
1	11	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	118	180	30	58590	20940	2	20010913	0
1	12	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	760	180	60	61530	8610	3	20010913	0
1	13	1	133	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	887	0	60	60960	10770	3	20010913	1
1	14	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	832	960	90	60240	13860	5	20010913	0
1	15	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	882	1050	90	60090	14520	5	20010913	0
1	16	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	351	90	180	56880	28140	5	20010913	0
1	17	1	111	3.613963	214312007	2007	760	124.834	1	0	1810	5	0	87	120	30	57300	42240	1	20010913	0
1	18	1	113	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	762	360	30	64890	4260	1	20010913	0
1	19	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	0	864	1650	30	63270	5310	3	20010913	0
1	20	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1023	2520	60	62550	6090	3	20010913	0
1	21	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1127	2430	60	62370	6330	3	20010913	0
1	22	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	849	390	90	61650	8010	5	20010913	0
1	23	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	866	120	90	60900	10920	5	20010913	0
1	24	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	762	300	120	60660	11940	5	20010913	0
1	25	1	113	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	138	210	90	57240	26400	3	20010913	0
1	26	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	877	1230	120	61830	7290	5	20010913	0
1	27	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	120	60	30	57840	23760	3	20010913	0
1	28	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	268	510	240	57060	27060	5	20010913	0
1	29	1	113	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	109	240	30	56610	39480	2	20010913	0
1	30	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1033	2490	120	62490	6030	5	20010913	0
1	31	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1088	1560	30	68940	7710	3	20010913	0
1	32	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	832	180	30	65310	4140	3	20010913	0
1	33	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	804	1590	210	59670	15810	5	20010913	0
1	34	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	150	840	60	58650	20010	4	20010913	0
1	35	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	322	90	120	56760	28140	5	20010913	0
1	36	1	133	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	81	0	60	56100	37620	3	20010913	1
1	37	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1183	930	120	69630	8700	5	20010913	0
1	38	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1058	1050	120	68610	7320	5	20010913	0
1	39	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	937	780	150	65640	4260	5	20010913	0
1	40	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	814	120	90	65250	4110	4	20010913	0
1	41	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	1002	1980	180	62790	5580	5	20010913	0
1	42	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	928	1530	210	61800	6960	5	20010913	0
1	43	1	133	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	667	0	30	60360	12690	2	20010913	1
1	44	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	774	1380	180	59700	15480	5	20010913	0
1	45	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	822	630	60	59220	17520	3	20010913	0
1	46	1	133	3.613963	214311001	2007	1077	53.071	1	0	1810	5	0	74	0	30	56010	37350	3	20010913	1
1	47	1	111	3.613963	222011001	2008	1076	88.321	0	0	7500	49	1	839	330	240	61500	7950	5	20010913	0
1	48	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	844	870	270	59910	14490	5	20010913	0
1	49	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	63	270	30	55950	31230	2	20010913	0
1	50	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1058	960	180	68520	7200	5	20010913	0
1	51	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	784	240	30	60840	10380	3	20010913	0
1	52	1	111	3.613963	222012002	2008	1314	109.692	0	0	7500	49	1	790	840	300	59970	14010	5	20010913	0
1	53	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	0	331	390	30	58830	18960	3	20010913	0
1	54	1	111	3.613963	214311007	2007	894	183.666	1	0	1810	5	1	159	270	30	58440	20550	3	20010913	0
1	55	1	111	3.613963	222011002	2006	882	121.619	0	0	7500	49	1	1056	1110	210	68580	7320	5	20010913	0
